Periodo;PrecipitacaoTotal
1970-1;169.11481481
1970-2;81.74642857
1970-3;92.33214286
1970-4;82.65217391
1970-5;30.25000000
1970-6;44.18518519
1970-7;58.15000000
1970-8;99.22222222
1970-9;75.89259259
1970-10;145.17037037
1970-11;176.80000000
1970-12;125.30000000
1971-1;153.68400000
1971-2;155.86250000
1971-3;152.04800000
1971-4;141.88000000
1971-5;76.59259259
1971-6;83.11481481
1971-7;16.46071429
1971-8;84.24827586
1971-9;106.58965517
1971-10;156.06071429
1971-11;217.81785714
1971-12;236.14444444
1972-1;158.93333333
1972-2;221.44827586
1972-3;186.53103448
1972-4;129.71379310
1972-5;44.63214286
1972-6;8.20000000
1972-7;52.52592593
1972-8;80.78148148
1972-9;68.76153846
1972-10;128.62962963
1972-11;178.51851852
1972-12;178.30000000
1973-1;256.64074074
1973-2;158.02962963
1973-3;156.10000000
1973-4;87.35185185
1973-5;95.13793103
1973-6;14.97142857
1973-7;63.75714286
1973-8;39.43928571
1973-9;89.37857143
1973-10;139.70357143
1973-11;174.03333333
1973-12;207.68888889
1974-1;155.61481481
1974-2;53.25357143
1974-3;108.18571429
1974-4;117.87857143
1974-5;39.91071429
1974-6;76.49615385
1974-7;2.81724138
1974-8;15.91379310
1974-9;38.06896552
1974-10;136.32413793
1974-11;91.68965517
1974-12;300.43571429
1975-1;289.21071429
1975-2;205.46785714
1975-3;82.28571429
1975-4;86.16153846
1975-5;93.13214286
1975-6;28.66785714
1975-7;32.23928571
1975-8;4.41428571
1975-9;60.28928571
1975-10;142.20000000
1975-11;266.44285714
1975-12;161.48214286
1976-1;120.36785714
1976-2;141.01111111
1976-3;149.66296296
1976-4;57.16785714
1976-5;139.01785714
1976-6;50.52222222
1976-7;73.15925926
1976-8;110.87200000
1976-9;137.85000000
1976-10;161.59583333
1976-11;129.72608696
1976-12;239.64166667
1977-1;183.07727273
1977-2;10.08181818
1977-3;101.84090909
1977-4;193.72272727
1977-5;43.30434783
1977-6;22.58636364
1977-7;31.26190476
1977-8;39.02608696
1977-9;134.49000000
1977-10;69.11428571
1977-11;229.21500000
1977-12;211.86000000
1978-1;156.30500000
1978-2;157.57500000
1978-3;104.61500000
1978-4;88.08421053
1978-5;96.84210526
1978-6;37.00555556
1978-7;30.01111111
1978-8;33.29444444
1978-9;25.28947368
1978-10;60.26111111
1978-11;152.93333333
1978-12;151.79444444
1979-1;230.31818182
1979-2;194.45000000
1979-3;131.28181818
1979-4;73.07142857
1979-5;47.01363636
1979-6;51.83636364
1979-7;40.60454545
1979-8;54.02173913
1979-9;73.54347826
1979-10;41.18571429
1979-11;121.82173913
1979-12;168.03043478
1980-1;184.62000000
1980-2;112.64500000
1980-3;68.85000000
1980-4;110.80000000
1980-5;35.41000000
1980-6;31.62105263
1980-7;16.77894737
1980-8;43.23500000
1980-9;33.96000000
1980-10;100.58000000
1980-11;117.00000000
1980-12;195.21578947
1981-1;134.27222222
1981-2;43.03529412
1981-3;127.18235294
1981-4;81.42500000
1981-5;19.56111111
1981-6;17.52222222
1981-7;24.42222222
1981-8;29.08888889
1981-9;21.43333333
1981-10;71.51176471
1981-11;138.65000000
1981-12;231.22222222
1982-1;167.18333333
1982-2;79.77777778
1982-3;198.01666667
1982-4;86.80000000
1982-5;29.55555556
1982-6;29.56470588
1982-7;26.26500000
1982-8;50.35000000
1982-9;33.15500000
1982-10;99.05500000
1982-11;81.91052632
1982-12;240.32631579
1983-1;195.58571429
1983-2;95.72105263
1983-3;207.60555556
1983-4;135.89473684
1983-5;87.81500000
1983-6;132.78421053
1983-7;50.83333333
1983-8;19.13809524
1983-9;255.65000000
1983-10;169.62500000
1983-11;170.13809524
1983-12;225.01428571
1984-1;26.90952381
1984-2;8.76000000
1984-3;161.68000000
1984-4;143.94000000
1984-5;88.14000000
1984-6;23.20000000
1984-7;39.84000000
1984-8;80.08000000
1984-9;66.94000000
1984-10;93.04000000
1984-11;118.80000000
1984-12;161.50000000
1985-1;373.30000000
1985-2;212.74000000
1985-3;188.82500000
1985-4;115.10000000
1985-5;79.76000000
1985-6;47.94000000
1985-7;24.40000000
1985-8;54.40000000
1985-9;118.34000000
1985-10;83.92000000
1985-11;135.52500000
1985-12;230.37500000
1986-1;87.90000000
1986-2;170.66666667
1986-3;199.90000000
1986-4;128.35000000
