Periodo;PrecipitacaoTotal
1970-1;90.80000000
1970-2;240.90000000
1970-3;540.00000000
1970-4;448.30000000
1970-5;165.10000000
1970-6;55.30000000
1970-7;19.50000000
1970-8;15.30000000
1970-9;134.70000000
1970-10;None
1970-11;56.70000000
1970-12;180.60000000
1971-1;73.90000000
1971-2;196.50000000
1971-3;203.50000000
1971-4;None
1971-5;None
1971-6;None
1971-7;None
1971-8;None
1971-9;166.40000000
1971-10;218.50000000
1971-11;338.10000000
1971-12;242.60000000
1972-1;513.30000000
1972-2;246.10000000
1972-3;194.00000000
1972-4;220.20000000
1972-5;236.00000000
1972-6;66.30000000
1972-7;39.80000000
1972-8;55.70000000
1972-9;160.80000000
1972-10;314.10000000
1972-11;280.00000000
1972-12;347.70000000
1973-1;376.20000000
1973-2;469.90000000
1973-3;233.50000000
1973-4;319.80000000
1973-5;131.30000000
1973-6;48.10000000
1973-7;47.40000000
1973-8;55.70000000
1973-9;84.70000000
1973-10;186.90000000
1973-11;357.90000000
1973-12;150.80000000
1974-1;330.70000000
1974-2;418.10000000
1974-3;225.90000000
1974-4;434.50000000
1974-5;92.90000000
1974-6;57.20000000
1974-7;29.60000000
1974-8;48.00000000
1974-9;154.70000000
1974-10;325.60000000
1974-11;169.70000000
1974-12;497.80000000
1975-1;540.00000000
1975-2;372.10000000
1975-3;234.30000000
1975-4;189.60000000
1975-5;104.50000000
1975-6;40.50000000
1975-7;87.70000000
1975-8;36.90000000
1975-9;91.50000000
1975-10;131.00000000
1975-11;237.50000000
1975-12;347.80000000
1976-1;473.90000000
1976-2;250.10000000
1976-3;173.10000000
1976-4;266.40000000
1976-5;63.20000000
1976-6;48.40000000
1976-7;20.00000000
1976-8;17.40000000
1976-9;203.00000000
1976-10;179.50000000
1976-11;156.60000000
1976-12;221.60000000
1977-1;374.20000000
1977-2;396.30000000
1977-3;205.90000000
1977-4;136.10000000
1977-5;185.00000000
1977-6;173.20000000
1977-7;22.00000000
1977-8;32.70000000
1977-9;94.10000000
1977-10;110.20000000
1977-11;274.70000000
1977-12;426.30000000
1978-1;324.50000000
1978-2;145.20000000
1978-3;260.70000000
1978-4;213.10000000
1978-5;211.90000000
1978-6;42.50000000
1978-7;25.80000000
1978-8;0E-8
1978-9;163.70000000
1978-10;163.60000000
1978-11;192.00000000
1978-12;539.70000000
1979-1;56.40000000
1979-2;91.80000000
1979-3;33.00000000
1979-4;108.50000000
1979-5;13.40000000
1979-6;0E-8
1979-7;1.80000000
1979-8;126.20000000
1979-9;86.60000000
1979-10;258.90000000
1979-11;32.30000000
1979-12;186.40000000
1980-1;158.30000000
1980-2;227.80000000
1980-3;104.30000000
1980-4;73.00000000
1980-5;105.90000000
1980-6;5.80000000
1980-7;0E-8
1980-8;0E-8
1980-9;97.90000000
1980-10;142.20000000
1980-11;175.90000000
1980-12;137.00000000
1981-1;149.60000000
1981-2;111.10000000
1981-3;130.60000000
1981-4;88.60000000
1981-5;4.20000000
1981-6;3.00000000
1981-7;15.00000000
1981-8;36.40000000
1981-9;24.60000000
1981-10;152.60000000
1981-11;215.20000000
1981-12;147.30000000
1982-1;273.40000000
1982-2;181.90000000
1982-3;209.00000000
1982-4;182.10000000
1982-5;159.60000000
1982-6;8.20000000
1982-7;47.20000000
1982-8;44.40000000
1982-9;121.20000000
1982-10;79.50000000
1982-11;157.10000000
1982-12;73.50000000
1983-1;478.40000000
1983-2;450.80000000
1983-3;410.00000000
1983-4;254.10000000
1983-5;57.90000000
1983-6;0E-8
1983-7;8.40000000
1983-8;5.00000000
1983-9;30.20000000
1983-10;202.20000000
1983-11;141.40000000
1983-12;271.90000000
1984-1;None
1984-2;None
1984-3;None
1984-4;None
1984-5;None
1984-6;None
1984-7;None
1984-8;None
1984-9;None
1984-10;None
1984-11;None
1984-12;None
1985-1;None
1985-2;None
1985-3;None
1985-4;None
1985-5;None
1985-6;None
1985-7;None
1985-8;None
1985-9;None
1985-10;None
1985-11;None
1985-12;None
1986-1;None
1986-2;None
1986-3;None
1986-4;None
1986-5;None
1986-6;None
1986-7;None
1986-8;None
1986-9;None
1986-10;None
1986-11;None
1986-12;None
1987-1;154.80000000
1987-2;104.10000000
1987-3;226.80000000
1987-4;246.10000000
1987-5;46.40000000
1987-6;56.40000000
1987-7;0.80000000
1987-8;36.40000000
1987-9;199.30000000
1987-10;233.10000000
1987-11;238.90000000
1987-12;156.00000000
1988-1;None
1988-2;None
1988-3;None
1988-4;None
1988-5;None
1988-6;None
1988-7;None
1988-8;None
1988-9;None
1988-10;None
1988-11;None
1988-12;None
1989-1;None
1989-2;None
1989-3;None
1989-4;None
1989-5;None
1989-6;None
1989-7;None
1989-8;None
1989-9;None
1989-10;None
1989-11;None
1989-12;None
1990-1;None
1990-2;None
1990-3;None
1990-4;None
1990-5;None
1990-6;None
1990-7;None
1990-8;None
1990-9;None
1990-10;None
1990-11;None
1990-12;None
1991-1;None
1991-2;None
1991-3;None
1991-4;None
1991-5;None
1991-6;None
1991-7;None
1991-8;None
1991-9;None
1991-10;None
1991-11;None
1991-12;None
1992-1;None
1992-2;None
1992-3;None
1992-4;None
1992-5;None
1992-6;None
1992-7;None
1992-8;None
1992-9;None
1992-10;None
1992-11;None
1992-12;None
1993-1;None
1993-2;None
1993-3;None
1993-4;None
1993-5;None
1993-6;None
1993-7;None
1993-8;None
1993-9;None
1993-10;None
1993-11;None
1993-12;None
1994-1;None
1994-2;None
1994-3;None
1994-4;None
1994-5;None
1994-6;None
1994-7;None
1994-8;None
1994-9;None
1994-10;None
1994-11;None
1994-12;None
1995-1;173.30000000
1995-2;44.30000000
1995-3;123.20000000
1995-4;58.50000000
1995-5;None
1995-6;None
1995-7;None
1995-8;None
1995-9;None
1995-10;None
1995-11;None
1995-12;None
1996-1;None
1996-2;None
1996-3;None
1996-4;None
1996-5;None
1996-6;None
1996-7;None
1996-8;None
1996-9;None
1996-10;None
1996-11;None
1996-12;None
1997-1;None
1997-2;None
1997-3;None
1997-4;None
1997-5;None
1997-6;None
1997-7;None
1997-8;None
1997-9;None
1997-10;None
1997-11;None
1997-12;None
1998-1;101.30000000
1998-2;217.50000000
1998-3;292.20000000
1998-4;169.50000000
1998-5;114.50000000
1998-6;None
1998-7;6.50000000
1998-8;37.30000000
1998-9;15.80000000
1998-10;35.60000000
1998-11;158.40000000
1998-12;72.20000000
1999-1;362.80000000
1999-2;202.60000000
1999-3;160.30000000
1999-4;149.40000000
1999-5;151.70000000
1999-6;57.10000000
1999-7;10.70000000
1999-8;59.00000000
1999-9;136.90000000
1999-10;89.60000000
1999-11;92.10000000
1999-12;28.20000000
2000-1;467.70000000
2000-2;None
2000-3;210.70000000
2000-4;None
2000-5;30.60000000
2000-6;70.30000000
2000-7;45.50000000
2000-8;23.60000000
2000-9;49.30000000
2000-10;215.20000000
2000-11;276.30000000
2000-12;261.00000000
2001-1;220.40000000
2001-2;435.00000000
2001-3;355.90000000
2001-4;202.40000000
2001-5;110.80000000
2001-6;118.90000000
2001-7;55.90000000
2001-8;77.70000000
2001-9;185.40000000
2001-10;169.90000000
2001-11;142.40000000
2001-12;665.30000000
2002-1;162.90000000
2002-2;342.40000000
2002-3;181.70000000
2002-4;239.20000000
2002-5;130.60000000
2002-6;9.00000000
2002-7;8.00000000
2002-8;60.60000000
2002-9;205.80000000
2002-10;183.10000000
2002-11;184.30000000
2002-12;581.20000000
2003-1;271.20000000
2003-2;271.80000000
2003-3;267.60000000
2003-4;333.60000000
2003-5;237.50000000
2003-6;120.10000000
2003-7;1.80000000
2003-8;103.10000000
2003-9;173.40000000
2003-10;154.80000000
2003-11;171.00000000
2003-12;287.10000000
2004-1;254.10000000
2004-2;239.30000000
2004-3;337.40000000
2004-4;141.70000000
2004-5;54.20000000
2004-6;7.40000000
2004-7;42.20000000
2004-8;44.40000000
2004-9;61.70000000
2004-10;196.60000000
2004-11;408.90000000
2004-12;218.20000000
2005-1;322.20000000
2005-2;336.60000000
2005-3;325.40000000
2005-4;141.20000000
2005-5;99.00000000
2005-6;10.70000000
2005-7;0.90000000
2005-8;68.60000000
2005-9;37.50000000
2005-10;242.20000000
2005-11;75.90000000
2005-12;371.50000000
2006-1;447.20000000
2006-2;371.70000000
2006-3;294.40000000
2006-4;313.30000000
2006-5;77.40000000
2006-6;0E-8
2006-7;17.30000000
2006-8;14.70000000
2006-9;37.40000000
2006-10;160.20000000
2006-11;200.60000000
2006-12;385.10000000
2007-1;447.10000000
2007-2;272.50000000
2007-3;212.10000000
2007-4;208.70000000
2007-5;132.80000000
2007-6;6.70000000
2007-7;13.70000000
2007-8;3.05000000
2007-9;40.25000000
2007-10;188.75000000
2007-11;240.10000000
