Periodo;PrecipitacaoTotal
1970-1;41.70000000
1970-2;51.13333333
1970-3;152.50000000
1970-4;75.40000000
1970-5;56.36666667
1970-6;68.16666667
1970-7;99.96666667
1970-8;104.90000000
1970-9;35.63333333
1970-10;47.76666667
1970-11;58.63333333
1970-12;9.40000000
1971-1;None
1971-2;None
1971-3;None
1971-4;None
1971-5;None
1971-6;None
1971-7;None
1971-8;None
1971-9;None
1971-10;None
1971-11;None
1971-12;None
1972-1;None
1972-2;None
1972-3;None
1972-4;None
1972-5;None
1972-6;None
1972-7;None
1972-8;None
1972-9;None
1972-10;None
1972-11;None
1972-12;None
1973-1;23.00000000
1973-2;28.60000000
1973-3;21.40000000
1973-4;102.40000000
1973-5;305.30000000
1973-6;250.10000000
1973-7;191.10000000
1973-8;80.30000000
1973-9;160.70000000
1973-10;130.60000000
1973-11;21.80000000
1973-12;12.80000000
1974-1;174.60000000
1974-2;107.80000000
1974-3;264.50000000
1974-4;316.80000000
1974-5;488.10000000
1974-6;150.00000000
1974-7;139.10000000
1974-8;87.20000000
1974-9;100.30000000
1974-10;47.90000000
1974-11;119.70000000
1974-12;8.60000000
1975-1;85.20000000
1975-2;25.80000000
1975-3;114.10000000
1975-4;279.30000000
1975-5;295.70000000
1975-6;274.90000000
1975-7;368.60000000
1975-8;107.10000000
1975-9;100.40000000
1975-10;7.70000000
1975-11;9.00000000
1975-12;47.30000000
1976-1;28.20000000
1976-2;37.80000000
1976-3;139.70000000
1976-4;201.40000000
1976-5;118.40000000
1976-6;106.70000000
1976-7;49.40000000
1976-8;61.70000000
1976-9;45.50000000
1976-10;142.60000000
1976-11;92.40000000
1976-12;44.80000000
1977-1;78.10000000
1977-2;104.13333333
1977-3;43.86666667
1977-4;224.86666667
1977-5;432.36666667
1977-6;143.86666667
1977-7;169.86666667
1977-8;100.43333333
1977-9;72.40000000
1977-10;122.20000000
1977-11;27.63333333
1977-12;97.40000000
1978-1;5.36666667
1978-2;159.70000000
1978-3;157.56666667
1978-4;119.96666667
1978-5;240.66666667
1978-6;117.83333333
1978-7;220.20000000
1978-8;122.63333333
1978-9;68.36666667
1978-10;17.36666667
1978-11;6.80000000
1978-12;55.83333333
1979-1;30.56666667
1979-2;29.16666667
1979-3;84.20000000
1979-4;226.83333333
1979-5;110.60000000
1979-6;159.30000000
1979-7;107.40000000
1979-8;62.93333333
1979-9;74.80000000
1979-10;15.80000000
1979-11;101.30000000
1979-12;27.73333333
1980-1;56.23333333
1980-2;258.00000000
1980-3;86.63333333
1980-4;17.90000000
1980-5;54.76666667
1980-6;119.86666667
1980-7;113.36666667
1980-8;35.93333333
1980-9;55.56666667
1980-10;85.83333333
1980-11;49.36666667
1980-12;16.23333333
1981-1;None
1981-2;None
1981-3;None
1981-4;None
1981-5;None
1981-6;None
1981-7;None
1981-8;None
1981-9;None
1981-10;None
1981-11;None
1981-12;None
1982-1;None
1982-2;None
1982-3;None
1982-4;None
1982-5;None
1982-6;None
1982-7;None
1982-8;None
1982-9;None
1982-10;None
1982-11;None
1982-12;None
1983-1;7.36666667
1983-2;89.00000000
1983-3;48.05000000
1983-4;77.36666667
1983-5;61.56666667
1983-6;78.50000000
1983-7;120.73333333
1983-8;88.53333333
1983-9;19.06666667
1983-10;28.00000000
1983-11;28.86666667
1983-12;11.26666667
1984-1;None
1984-2;None
1984-3;None
1984-4;None
1984-5;None
1984-6;None
1984-7;None
1984-8;None
1984-9;None
1984-10;None
1984-11;None
1984-12;None
1985-1;None
1985-2;None
1985-3;None
1985-4;None
1985-5;None
1985-6;None
1985-7;None
1985-8;None
1985-9;None
1985-10;None
1985-11;None
1985-12;None
1986-1;44.00000000
1986-2;92.56666667
1986-3;199.23333333
1986-4;130.40000000
1986-5;280.93333333
1986-6;113.00000000
1986-7;171.90000000
